asset,rule,direction,era,n,mean,excess
NQ_YAHOO,sweep_1,1,2000,59,-0.01348701330182671,-0.012257849924000502
NQ_YAHOO,sweep_1,1,2010,84,0.024324714045658953,0.011240117418908204
NQ_YAHOO,sweep_1,1,2020,52,0.020544128309120415,0.0048395330013213216
NQ_YAHOO,sweep_1,-1,2000,80,-0.0031365498577659691,-0.0043657132355921779
NQ_YAHOO,sweep_1,-1,2010,83,-0.012330579010717145,0.00075401761603360667
NQ_YAHOO,sweep_1,-1,2020,54,-0.01675516643525984,-0.0010505711274607504
NQ_YAHOO,fvg_disp,-1,2000,20,0.0014880395987640015,0.000258876220937794
NQ_YAHOO,fvg_disp,-1,2010,20,-0.028035915326173479,-0.014951318699422723
NQ_YAHOO,fvg_disp,-1,2020,15,-0.0062874184750493813,0.0094171768327497088
NQ_YAHOO,sweep_fvg,-1,2000,7,-0.028729306294533137,-0.029958469672359347
NQ_YAHOO,sweep_fvg,-1,2010,9,-0.032017579534796101,-0.018932982908045352
NQ_YAHOO,sweep_fvg,-1,2020,5,0.02211522654551825,0.037819821853317337
NQ_YAHOO,fvg_disp,1,2000,18,-0.0054483119541293024,-0.0042191485763030936
NQ_YAHOO,fvg_disp,1,2010,58,0.0089065590311787658,-0.004178037595571984
NQ_YAHOO,fvg_disp,1,2020,42,0.010657330505450605,-0.0050472648023484881
NQ_YAHOO,sweep_fvg,1,2000,8,-0.0040686273955143348,-0.002839464017688126
NQ_YAHOO,sweep_fvg,1,2010,25,0.0095738817333544998,-0.0035107148933962522
NQ_YAHOO,sweep_fvg,1,2020,16,0.0088762701241017761,-0.0068283251836973174
NDX,sweep_1,-1,1980,32,-0.010242028705660839,0.0032441255512690552
NDX,sweep_1,-1,1990,80,-0.021217240957206941,0.0027527959358728945
NDX,sweep_1,-1,2000,97,-0.0014595134656902027,-0.0030691229066532656
NDX,sweep_1,-1,2010,84,-0.010270673265340105,0.0027992058992607036
NDX,sweep_1,-1,2020,44,-0.0091093136738196797,0.0066701420406621711
NDX,sweep_1,1,1980,39,0.0082328138345336751,-0.0052533404223962183
NDX,sweep_1,1,1990,85,0.029973597324853253,0.0060035604317734137
NDX,sweep_1,1,2000,78,-0.029137710863575653,-0.027528101422612583
NDX,sweep_1,1,2010,76,0.024106302027599655,0.011036422862998845
NDX,sweep_1,1,2020,39,0.016009185585814833,0.00022972987133298555
NDX,fvg_disp,1,1980,35,0.019584869244250833,0.0060987149873209393
NDX,fvg_disp,1,1990,73,0.026501451714366416,0.00253141482128658
NDX,fvg_disp,1,2000,41,0.00086539442798919326,0.0024750038689522569
NDX,fvg_disp,1,2010,46,0.0076042428407736128,-0.005465636323827198
NDX,fvg_disp,1,2020,39,0.013530015383516033,-0.0022494403309658165
NDX,sweep_fvg,1,1980,10,0.028931990528466088,0.015445836271536196
NDX,sweep_fvg,1,1990,31,0.023598249934928914,-0.00037178695815091823
NDX,sweep_fvg,1,2000,11,-0.027543279497510374,-0.025933670056547311
NDX,sweep_fvg,1,2010,16,0.018443369395108065,0.0053734902305072564
NDX,sweep_fvg,1,2020,9,0.031816001552846397,0.016036545838364551
NDX,fvg_disp,-1,1980,18,-0.0080730691488240768,0.0054130851081058175
NDX,fvg_disp,-1,1990,24,-0.010686486775695924,0.013283550117383908
NDX,fvg_disp,-1,2000,35,0.015005105720600374,0.013395496279637311
NDX,fvg_disp,-1,2010,25,-0.034002383544034724,-0.020932504379433916
NDX,fvg_disp,-1,2020,14,-0.0026284416018113837,0.013151014112670464
NDX,sweep_fvg,-1,1980,6,-0.0059073732480674863,0.0075787810088624079
NDX,sweep_fvg,-1,1990,8,-0.03481472619669905,-0.010844689303619218
NDX,sweep_fvg,-1,2000,14,-0.0089311474970637603,-0.010540756938026823
NDX,sweep_fvg,-1,2010,12,-0.027441415531275538,-0.014371536366674728
NDX,sweep_fvg,-1,2020,6,0.0066955895176629516,0.022475045232144802
SP500,sweep_1,1,1960,92,-0.00066130987368514843,-0.0039461747437943536
SP500,sweep_1,1,1970,97,0.013251532949756695,0.010844592695969903
SP500,sweep_1,1,1980,87,0.0074451883311492436,-0.0022397531295036536
SP500,sweep_1,1,1990,68,0.016071760264256281,0.0043831123935485182
SP500,sweep_1,1,2000,92,-0.011322376176429916,-0.010881701114484103
SP500,sweep_1,1,2010,66,0.013084650856310848,0.0042049025316579338
SP500,sweep_1,1,2020,44,0.020053590506083671,0.0087801333452487262
SP500,sweep_1,-1,1960,89,-0.0036251755074207257,-0.00034031063731152037
SP500,sweep_1,-1,1970,109,-0.0026200647146150395,-0.0002131244608282459
SP500,sweep_1,-1,1980,80,-0.0015393786641531432,0.0081455627964997536
SP500,sweep_1,-1,1990,98,-0.01015917180839958,0.0015294760623081871
SP500,sweep_1,-1,2000,85,0.00094321018282364857,0.00050253512087784216
SP500,sweep_1,-1,2010,89,-0.009400095767412955,-0.00052034744276004119
SP500,sweep_1,-1,2020,44,-0.0032999181208005187,0.0079735390400344237
SP500,fvg_disp,-1,1980,26,-0.013077940563209276,-0.0033929991025563769
SP500,fvg_disp,-1,1990,33,-0.015230318862478802,-0.0035416709917710327
SP500,fvg_disp,-1,2000,39,-0.013022075683702042,-0.013462750745647845
SP500,fvg_disp,-1,2010,28,-0.023140395370604066,-0.014260647045951152
SP500,fvg_disp,-1,2020,11,-0.017839215608715778,-0.0065657584478808354
SP500,sweep_fvg,-1,1980,13,-0.032192773187286,-0.022507831726633096
SP500,sweep_fvg,-1,1990,12,-0.019696088844521748,-0.0080074409738139837
SP500,sweep_fvg,-1,2000,17,-0.02041796132353188,-0.020858636385477691
SP500,sweep_fvg,-1,2010,9,-0.013474713923456968,-0.0045949655988040536
SP500,sweep_fvg,-1,2020,2,-0.0032104932877515813,0.0080629638730833619
SP500,fvg_disp,1,1980,58,0.018745869830450651,0.0090609283697977543
SP500,fvg_disp,1,1990,75,0.0028612704115905749,-0.0088273774591171913
SP500,fvg_disp,1,2000,47,0.0044825825712841213,0.004923257633229928
SP500,fvg_disp,1,2010,50,0.0051767775047522968,-0.0037029708199006173
SP500,fvg_disp,1,2020,39,-0.00039802241386251619,-0.01167147957469746
SP500,sweep_fvg,1,1980,21,0.024211248174857605,0.014526306714204709
SP500,sweep_fvg,1,1990,18,0.0011715867461491755,-0.010517061124558592
SP500,sweep_fvg,1,2000,21,-0.0008816572313515371,-0.00044098216940573231
SP500,sweep_fvg,1,2010,19,0.00055813568186022667,-0.0083216126427926879
SP500,sweep_fvg,1,2020,12,0.013571883457771597,0.0022984262969366529
SP500_MODERN,sweep_1,-1,1980,52,-0.00055413971169323694,0.011142264463138256
SP500_MODERN,sweep_1,-1,1990,98,-0.01015917180839958,0.0015294760623081871
SP500_MODERN,sweep_1,-1,2000,85,0.00094321018282364857,0.00050253512087784216
SP500_MODERN,sweep_1,-1,2010,89,-0.009400095767412955,-0.00052034744276004119
SP500_MODERN,sweep_1,-1,2020,44,-0.0032999181208005187,0.0079735390400344237
SP500_MODERN,sweep_1,1,1980,60,0.01355870223238125,0.0018622980575497658
SP500_MODERN,sweep_1,1,1990,68,0.016071760264256281,0.0043831123935485182
SP500_MODERN,sweep_1,1,2000,92,-0.011322376176429916,-0.010881701114484103
SP500_MODERN,sweep_1,1,2010,66,0.013084650856310848,0.0042049025316579338
SP500_MODERN,sweep_1,1,2020,44,0.020053590506083671,0.0087801333452487262
SP500_MODERN,fvg_disp,1,1980,58,0.018745869830450651,0.0070494656556191627
SP500_MODERN,fvg_disp,1,1990,75,0.0028612704115905749,-0.0088273774591171913
SP500_MODERN,fvg_disp,1,2000,47,0.0044825825712841213,0.004923257633229928
SP500_MODERN,fvg_disp,1,2010,50,0.0051767775047522968,-0.0037029708199006173
SP500_MODERN,fvg_disp,1,2020,39,-0.00039802241386251619,-0.01167147957469746
SP500_MODERN,sweep_fvg,1,1980,21,0.024211248174857605,0.012514844000026119
SP500_MODERN,sweep_fvg,1,1990,18,0.0011715867461491755,-0.010517061124558592
SP500_MODERN,sweep_fvg,1,2000,21,-0.0008816572313515371,-0.00044098216940573231
SP500_MODERN,sweep_fvg,1,2010,19,0.00055813568186022667,-0.0083216126427926879
SP500_MODERN,sweep_fvg,1,2020,12,0.013571883457771597,0.0022984262969366529
SP500_MODERN,fvg_disp,-1,1980,22,-0.0017687958740516994,0.009927608300779784
