i,date,rule,direction,reference,asset,signal_close,return_1,return_4,return_13,lower,upper,ce,width_pct,bridge
1,2000-10-06,breakout_1,-1,3580.5,NQ_YAHOO,3357.5,0.025912137006701363,0.0013402829486225398,0.31690245718540577,,,,,
2,2000-10-13,breakout_1,-1,3305,NQ_YAHOO,3270.5,-0.070019874636905621,0.11542577587524838,0.22336034245528202,,,,,
2,2000-10-13,fvg_raw,-1,,NQ_YAHOO,3270.5,-0.070019874636905621,0.11542577587524838,0.22336034245528202,3402,3580.5,3491.25,0.054578810579422106,1
3,2000-10-20,breakout_1,1,3402,NQ_YAHOO,3499.5,-0.079154164880697264,-0.16002286040862979,-0.2323189027003858,,,,,
4,2000-10-27,sweep_4,1,3021.5,NQ_YAHOO,3222.5,0.040496508921644692,-0.12211016291698995,-0.17905352986811485,,,,,
6,2000-11-10,breakout_4,-1,2978.5,NQ_YAHOO,2893,-0.016073280331835527,0.052713446249567975,0.21292775665399244,,,,,
7,2000-11-17,sweep_1,1,2892,NQ_YAHOO,2939.5,-0.037591427113454645,-0.12118386484202248,-0.24221806429664905,,,,,
7,2000-11-17,sweep_4,1,2892,NQ_YAHOO,2939.5,-0.037591427113454645,-0.12118386484202248,-0.24221806429664905,,,,,
8,2000-11-24,sweep_1,1,2755,NQ_YAHOO,2829,-0.090668080593849454,-0.12725344644750791,-0.27306468716861076,,,,,
8,2000-11-24,sweep_4,1,2755,NQ_YAHOO,2829,-0.090668080593849454,-0.12725344644750791,-0.27306468716861076,,,,,
9,2000-12-01,breakout_1,-1,2676,NQ_YAHOO,2572.5,-0.065306122448979487,0.076967930029154474,0.27055393586005827,,,,,
9,2000-12-01,breakout_4,-1,2676,NQ_YAHOO,2572.5,-0.065306122448979487,0.076967930029154474,0.27055393586005827,,,,,
11,2000-12-15,sweep_1,-1,2924,NQ_YAHOO,2583.280029296875,0.044238343501606381,0.01675390542490085,,,,,,
12,2000-12-22,breakout_1,-1,2556,NQ_YAHOO,2469,0.038274605103280734,-0.08809234507897945,,,,,,
12,2000-12-22,sweep_4,1,2435,NQ_YAHOO,2469,-0.038274605103280734,0.08809234507897945,,,,,,
13,2000-12-29,fvg_raw,-1,,NQ_YAHOO,2374.5,0.03411244472520536,-0.11412929037692154,,2543.5,2556,2549.75,0.0052642661612971155,1
14,2001-01-05,sweep_13,1,2211,NQ_YAHOO,2293.5,0.10747765424024425,0.085022890778286397,,,,,,
14,2001-01-05,sweep_4,1,2211,NQ_YAHOO,2293.5,0.10747765424024425,0.085022890778286397,,,,,,
15,2001-01-12,sweep_1,-1,2590,NQ_YAHOO,2540,-0.057677165354330651,0.10354330708661419,,,,,,
16,2001-01-19,breakout_1,1,2617,NQ_YAHOO,2686.5,-0.015261492648427355,-0.17085427135678388,,,,,,
16,2001-01-19,sweep_4,-1,2692,NQ_YAHOO,2686.5,0.015261492648427355,0.17085427135678388,,,,,,
17,2001-01-26,sweep_1,-1,2769,NQ_YAHOO,2645.5,0.059346059346059299,0.22264222264222266,,,,,,
17,2001-01-26,sweep_4,-1,2769,NQ_YAHOO,2645.5,0.059346059346059299,0.22264222264222266,,,,,,
18,2001-02-02,breakout_1,-1,2548.5,NQ_YAHOO,2488.5,0.084990958408679873,0.24593128390596741,,,,,,
19,2001-02-09,breakout_1,-1,2478,NQ_YAHOO,2277,0.021739130434782594,0.20465524813350899,,,,,,
19,2001-02-09,fvg_raw,-1,,NQ_YAHOO,2277,0.021739130434782594,0.20465524813350899,,2547.5,2548.5,2548,0.0004391743522178305,1
20,2001-02-16,breakout_1,-1,2271,NQ_YAHOO,2227.5,0.076767676767676818,,,,,,,
20,2001-02-16,breakout_4,-1,2271,NQ_YAHOO,2227.5,0.076767676767676818,,,,,,,
