asset,rule,cost_bps,n,mean,median,positive,profit_factor,skipped_overlap,unavailable
ED,sweep_1,25,475,-9.9728449925242074e-05,-0.0025000000000000001,0.48210526315789476,0.99491851666742315,404,3
ED,sweep_fvg,0,129,-0.0033202201138983391,0.0042937542759091674,0.51937984496124034,0.8408517050644394,28,0
ED,sweep_fvg,10,129,-0.00432022011389834,0.0032937542759091673,0.51162790697674421,0.79758449736277326,28,0
ED,sweep_fvg,25,129,-0.0058202201138983405,0.0017937542759091673,0.51162790697674421,0.73635393231723778,28,0
ED_ADJ,sweep_1,0,542,-0.0020612886968876215,-0.0045665898585683928,0.45756457564575648,0.89552662595675236,525,3
ED_ADJ,sweep_1,10,542,-0.0030612886968876219,-0.0055665898585683929,0.44095940959409596,0.84907839518467376,525,3
ED_ADJ,sweep_1,25,542,-0.0045612886968876233,-0.0070665898585683933,0.43173431734317341,0.78413481237891591,525,3
ED_ADJ,sweep_fvg,0,150,-0.0010922108581153322,0.00048208025999163517,0.5,0.94624273382657276,40,0
ED_ADJ,sweep_fvg,10,150,-0.0020922108581153333,-0.00051791974000836485,0.49333333333333335,0.89949843510193228,40,0
ED_ADJ,sweep_fvg,25,150,-0.0035922108581153338,-0.0020179197400083649,0.49333333333333335,0.83352202498807437,40,0
NQ_LOCAL_SNAPSHOT,sweep_1,0,72,-0.0082561536963246772,-0.010363754772300449,0.3888888888888889,0.6798673339799336,60,27
NQ_LOCAL_SNAPSHOT,sweep_1,10,72,-0.0092561536963246781,-0.01136375477230045,0.375,0.64952426031094923,60,27
NQ_LOCAL_SNAPSHOT,sweep_1,25,72,-0.010756153696324679,-0.012863754772300449,0.375,0.60668970262332955,60,27
NQ_LOCAL_SNAPSHOT,sweep_fvg,0,12,-0.0040199599426032533,0.011192020258612656,0.58333333333333337,0.82588047816010168,0,4
NQ_LOCAL_SNAPSHOT,sweep_fvg,10,12,-0.0050199599426032542,0.010192020258612655,0.58333333333333337,0.7864212721111844,0,4
NQ_LOCAL_SNAPSHOT,sweep_fvg,25,12,-0.0065199599426032555,0.0086920202586126556,0.58333333333333337,0.72978768469570832,0,4
NQ_LOCAL_FIXED,sweep_1,0,72,-0.0082561536963246772,-0.010363754772300449,0.3888888888888889,0.6798673339799336,60,25
NQ_LOCAL_FIXED,sweep_1,10,72,-0.0092561536963246781,-0.01136375477230045,0.375,0.64952426031094923,60,25
NQ_LOCAL_FIXED,sweep_1,25,72,-0.010756153696324679,-0.012863754772300449,0.375,0.60668970262332955,60,25
NQ_LOCAL_FIXED,sweep_fvg,0,12,-0.0040199599426032533,0.011192020258612656,0.58333333333333337,0.82588047816010168,0,3
NQ_LOCAL_FIXED,sweep_fvg,10,12,-0.0050199599426032542,0.010192020258612655,0.58333333333333337,0.7864212721111844,0,3
NQ_LOCAL_FIXED,sweep_fvg,25,12,-0.0065199599426032555,0.0086920202586126556,0.58333333333333337,0.72978768469570832,0,3
