asset,rule,direction,horizon,formed,n,censored,edge_hits,edge_rate,edge_range_touches,edge_open_passes,edge_open_known,edge_median_wait,ce_hits,ce_rate,ce_range_touches,ce_open_passes,ce_open_known,ce_median_wait,far_hits,far_rate,far_range_touches,far_open_passes,far_open_known,far_median_wait
ED,sweep_fvg,-1,13,58,58,0,49,0.84482758620689657,49,2,49,1,46,0.7931034482758621,46,0,46,2,43,0.74137931034482762,43,1,43,2
ED,sweep_fvg,-1,52,58,56,2,52,0.9285714285714286,52,2,52,2,51,0.9107142857142857,51,0,51,2,50,0.8928571428571429,50,1,50,3
ED_ADJ,fvg_raw,1,1,503,503,0,196,0.38966202783300197,195,17,196,1,131,0.26043737574552683,131,5,131,1,98,0.19483101391650098,98,4,98,1
ED_ADJ,fvg_raw,1,4,503,503,0,304,0.60437375745526833,304,24,304,1,241,0.47912524850894633,241,8,241,1,195,0.38767395626242546,195,7,195,1
ED_ADJ,fvg_raw,1,13,503,502,1,386,0.7689243027888446,386,25,386,1,344,0.68525896414342624,343,10,344,2,301,0.59960159362549803,300,9,301,3
ED_ADJ,fvg_raw,1,52,503,500,3,426,0.85199999999999998,426,25,426,2,395,0.79000000000000004,394,10,395,3,357,0.71399999999999997,356,10,357,4
ED_ADJ,fvg_raw,-1,1,299,299,0,122,0.40802675585284282,120,13,122,1,83,0.27759197324414714,82,2,83,1,56,0.18729096989966554,55,1,56,1
ED_ADJ,fvg_raw,-1,4,299,299,0,208,0.69565217391304346,206,16,208,1,177,0.59197324414715724,174,5,177,2,157,0.52508361204013376,154,7,157,2
ED_ADJ,fvg_raw,-1,13,299,299,0,256,0.85618729096989965,255,17,256,2,243,0.81270903010033446,240,7,243,2,225,0.75250836120401343,222,8,225,3
ED_ADJ,fvg_raw,-1,52,299,298,1,282,0.94630872483221473,281,17,282,2,278,0.93288590604026844,275,7,278,3,272,0.91275167785234901,269,9,272,4
ED_ADJ,fvg_disp,1,1,355,355,0,147,0.41408450704225352,146,14,147,1,98,0.27605633802816903,98,4,98,1,71,0.20000000000000001,71,3,71,1
ED_ADJ,fvg_disp,1,4,355,355,0,219,0.61690140845070418,219,21,219,1,174,0.49014084507042255,174,7,174,1,140,0.39436619718309857,140,6,140,1
ED_ADJ,fvg_disp,1,13,355,354,1,276,0.77966101694915257,276,22,276,1,244,0.68926553672316382,243,9,244,2,214,0.60451977401129942,213,8,214,3
ED_ADJ,fvg_disp,1,52,355,353,2,307,0.86968838526912184,307,22,307,2,285,0.80736543909348446,284,9,285,3,258,0.73087818696883855,257,9,258,4
ED_ADJ,fvg_disp,-1,1,223,223,0,91,0.40807174887892378,90,10,91,1,61,0.273542600896861,61,1,61,1,39,0.17488789237668162,39,0,39,1
ED_ADJ,fvg_disp,-1,4,223,223,0,156,0.69955156950672648,155,13,156,1,131,0.58744394618834084,130,3,131,2,114,0.5112107623318386,113,5,114,2
ED_ADJ,fvg_disp,-1,13,223,223,0,191,0.8565022421524664,191,13,191,2,183,0.820627802690583,182,4,183,2,165,0.73991031390134532,164,5,165,3
ED_ADJ,fvg_disp,-1,52,223,222,1,212,0.95495495495495497,212,13,212,2,208,0.93693693693693691,207,4,208,3,202,0.90990990990990994,201,6,202,4
ED_ADJ,sweep_fvg,1,1,120,120,0,51,0.42499999999999999,51,4,51,1,34,0.28333333333333333,34,0,34,1,27,0.22500000000000001,27,0,27,1
ED_ADJ,sweep_fvg,1,4,120,120,0,77,0.64166666666666672,77,4,77,1,60,0.5,60,0,60,1,50,0.41666666666666669,50,0,50,1
ED_ADJ,sweep_fvg,1,13,120,120,0,91,0.7583333333333333,91,4,91,1,77,0.64166666666666672,76,1,77,2,70,0.58333333333333337,69,1,70,2
ED_ADJ,sweep_fvg,1,52,120,119,1,102,0.8571428571428571,102,4,102,2,91,0.76470588235294112,90,1,91,3,83,0.69747899159663862,82,1,83,3
ED_ADJ,sweep_fvg,-1,1,70,70,0,30,0.42857142857142855,30,3,30,1,18,0.25714285714285712,18,1,18,1,12,0.17142857142857143,12,0,12,1
ED_ADJ,sweep_fvg,-1,4,70,70,0,52,0.74285714285714288,52,5,52,1,46,0.65714285714285714,45,3,46,2,38,0.54285714285714282,37,2,38,2
ED_ADJ,sweep_fvg,-1,13,70,70,0,57,0.81428571428571428,57,5,57,1,55,0.7857142857142857,54,4,55,2,50,0.7142857142857143,49,2,50,2
ED_ADJ,sweep_fvg,-1,52,70,69,1,64,0.92753623188405798,64,5,64,2,63,0.91304347826086951,62,4,63,2,61,0.88405797101449279,60,2,61,3
NQ_LOCAL_SNAPSHOT,fvg_raw,1,1,92,86,6,26,0.30232558139534882,26,1,26,1,16,0.18604651162790697,16,1,16,1,13,0.15116279069767441,13,0,13,1
NQ_LOCAL_SNAPSHOT,fvg_raw,1,4,92,74,18,38,0.51351351351351349,38,1,38,1,32,0.43243243243243246,32,1,32,2,23,0.3108108108108108,23,0,23,2
NQ_LOCAL_SNAPSHOT,fvg_raw,1,13,92,45,47,33,0.73333333333333328,33,0,33,2,31,0.68888888888888888,31,0,31,3,29,0.64444444444444449,29,0,29,3
NQ_LOCAL_SNAPSHOT,fvg_raw,1,52,92,0,92,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_SNAPSHOT,fvg_raw,-1,1,28,27,1,15,0.55555555555555558,15,0,15,1,13,0.48148148148148145,13,0,13,1,8,0.29629629629629628,8,0,8,1
NQ_LOCAL_SNAPSHOT,fvg_raw,-1,4,28,25,3,20,0.80000000000000004,20,0,20,1,18,0.71999999999999997,18,0,18,1,16,0.64000000000000001,16,0,16,1.5
