asset,rule,direction,horizon,period,formed,n,mean,median,sd,q25,q75,positive,baseline,excess,ci_low,ci_high
NQ_YAHOO,fvg_disp,-1,1,early,41,40,-0.004245516271,0.0006368652845,0.03465320789,-0.02373754958,0.01816439332,0.525,-0.001192533478,-0.003052982793,,
NQ_YAHOO,sweep_fvg,-1,1,early,17,17,-0.0009545740698,0.004191407614,0.03990569797,-0.007702243176,0.01985757327,0.5882352941,-0.001142661852,0.0001880877821,,
NQ_YAHOO,breakout_13,-1,1,early,33,31,-0.01236759019,-0.02222222222,0.04538009654,-0.04004600995,0.006938056797,0.2903225806,-0.0008066093198,-0.01156098087,,
NQ_YAHOO,breakout_4,1,1,early,189,186,-0.0006287578405,0.001096506218,0.02093832079,-0.01133021115,0.01306386262,0.5537634409,0.002001859992,-0.002630617833,,
NQ_YAHOO,fvg_raw,1,1,early,142,139,0.002130537222,0.00289642319,0.01879534291,-0.009016560139,0.01398311127,0.5827338129,0.002085080104,4.545711786e-05,,
NQ_YAHOO,sweep_13,-1,1,early,92,91,0.002105065106,0.0009848335631,0.02177675017,-0.01431053616,0.01430895475,0.5274725275,-0.002116954907,0.004222020013,,
NQ_YAHOO,breakout_13,1,1,early,123,121,0.0004309140149,0.001607200257,0.01692391225,-0.007106926946,0.01186680836,0.5950413223,0.002518367672,-0.002087453657,,
NQ_YAHOO,fvg_disp,1,1,early,75,73,0.001325366959,0.001607200257,0.01656340346,-0.009591927257,0.01286814193,0.5890410959,0.002378445821,-0.001053078862,,
NQ_YAHOO,sweep_fvg,1,1,early,31,31,0.001285043657,0.001102400784,0.01857623079,-0.01047127343,0.01421348185,0.5483870968,0.002386771226,-0.001101727569,,
NQ_YAHOO,sweep_52,-1,1,early,60,60,0.0009510248028,-3.155492396e-05,0.0196916904,-0.01331959991,0.01150378874,0.5,-0.002668364181,0.003619388984,,
NQ_YAHOO,breakout_52,1,1,early,76,76,-0.0008952188259,0.0009027058451,0.01389973111,-0.007143811281,0.006923557978,0.5526315789,0.00306169868,-0.003956917506,,
NQ_YAHOO,breakout_52,-1,1,early,2,2,-0.01586935089,-0.01586935089,0.03562599802,-0.02846504328,-0.003273658494,0.5,0.0004088998388,-0.01627825073,,
NQ_YAHOO,sweep_52,1,1,early,1,1,0.03862714509,0.03862714509,,0.03862714509,0.03862714509,1,0.003359178553,0.03526796653,,
